City,Lat,Humidity,Cloudiness,Max Temp,Wind Speed
malpe,13.35,70,20,86.0,2.1
arraial do cabo,-22.97,78,75,75.2,5.1
agirish,61.92,85,98,39.72,3.24
tuktoyaktuk,69.45,84,75,6.8,4.1
hargeysa,9.56,46,98,76.15,3.66
gillette,44.29,34,1,48.99,3.6
vakhrushi,58.68,78,88,38.16,2.17
panalingaan,8.78,78,69,83.57,3.48
coahuayana,18.73,42,5,82.4,0.62
gat,31.61,25,4,73.0,5.65
neftcala,39.37,81,0,57.38,5.0
lompoc,34.64,87,90,55.0,2.1
kruisfontein,-34.0,33,0,78.12,2.07
ivoti,-29.59,70,12,75.0,2.24
severo-kurilsk,50.68,89,0,32.32,3.69
souillac,-20.52,74,75,78.8,6.7
ancud,-41.87,93,20,59.0,4.6
faanui,-16.48,64,86,82.8,1.85
doha,25.29,69,4,78.01,5.1
yumen,40.28,18,52,57.2,3.25
gallatin,45.67,42,1,44.6,2.1
kourou,5.16,70,75,86.0,3.6
barrow,71.29,83,1,-9.4,3.6
thompson,55.74,65,75,5.0,3.6
bethel,41.37,95,100,37.0,0.45
bluff,-46.6,94,100,45.0,2.68
vaini,-21.2,83,75,77.0,4.1
pakxan,18.38,57,63,81.77,0.39
dikson,73.51,92,100,35.04,6.35
okha,53.57,89,24,18.19,1.83
lorengau,-2.02,72,78,83.08,1.37
campbell river,50.02,87,20,48.2,3.6
tabou,4.42,79,82,84.36,4.62
kholodnyy,62.72,77,100,-9.47,2.37
banavar,13.41,34,60,83.89,1.29
tungor,53.38,91,26,17.35,1.65
komsomolskiy,40.43,37,11,66.2,1.0
bambous virieux,-20.34,74,75,78.8,6.7
pitimbu,-7.47,74,40,86.0,3.6
longyearbyen,78.22,69,75,35.6,3.6
wanning,18.8,91,84,77.0,3.34
sangar,63.92,84,3,5.09,1.37
trebisacce,39.87,27,8,75.99,0.89
fonte boa,-2.5,92,99,75.54,1.28
denpasar,-8.65,94,20,82.4,1.0
kotri,25.37,30,83,89.08,7.68
kurri kurri,-32.82,90,2,59.0,1.12
srednekolymsk,67.45,89,32,-11.09,4.11
fukue,32.69,67,95,58.96,4.66
cabo san lucas,22.89,82,20,75.0,10.3
katsuura,35.13,62,1,59.0,5.36
codrington,-38.27,82,32,52.65,3.65
bayir,37.27,56,20,68.0,6.2
provideniya,64.38,95,100,21.31,7.93
ilulissat,69.22,85,90,24.8,2.6
talnakh,69.49,74,100,37.4,15.0
leningradskiy,69.38,91,57,-3.6,3.69
akyab,20.15,81,0,79.54,2.55
ler,8.3,12,7,99.99,1.63
palasa,18.77,72,61,82.4,6.91
mehamn,71.04,84,97,36.23,7.47
yellowknife,62.46,78,75,19.0,2.6
teeli,51.03,41,0,39.31,0.39
kirovsk,48.64,41,0,50.65,4.47
mahebourg,-20.41,74,75,78.8,6.7
esperance,-33.87,93,90,60.8,4.6
maldonado,-34.67,60,20,71.6,4.1
port hardy,50.7,93,75,46.4,2.1
nara,34.69,56,100,57.99,6.08
carlsbad,33.16,87,90,60.01,3.36
ambulu,-8.35,77,100,80.53,2.1
kudahuvadhoo,2.67,75,72,85.28,4.93
khasan,42.43,63,0,45.19,1.51
dickinson,29.46,88,90,66.99,4.6
yulara,-25.24,33,0,75.2,3.1
buchanan,5.88,79,75,84.2,5.56
martinho campos,-19.33,65,99,75.96,1.89
puerto madryn,-42.77,48,100,73.44,2.31
cidreira,-30.18,61,1,71.47,2.58
ketchikan,55.34,93,1,42.8,3.1
kushima,31.46,76,100,53.01,1.27
sao miguel do araguaia,-13.28,81,100,76.33,1.7
tasiilaq,65.61,89,75,32.0,6.7
mumford,5.26,69,79,86.59,6.59
hamilton,39.18,60,40,48.0,2.6
kuching,1.55,88,20,77.0,1.0
bowen,-20.02,100,64,72.0,2.1
nanortalik,60.14,88,20,29.44,0.92
ust-ishim,57.69,65,100,52.11,3.5
winchester,51.07,81,61,55.99,2.6
panzhihua,26.59,28,11,71.42,0.97
la ronge,55.1,58,40,24.8,5.1
ziyang,29.25,85,100,65.43,0.73
astana,51.18,61,100,50.0,3.0
olden,61.84,52,18,42.01,0.89
qiryat shemona,33.21,77,3,69.8,5.1
richards bay,-28.78,70,34,76.05,5.43
wuda,39.5,48,34,48.49,3.38
cururupu,-1.83,60,94,88.68,1.01
itoman,26.12,94,75,71.6,3.6
klaksvik,62.23,70,0,46.4,8.7
victoria,22.29,88,100,73.99,2.24
otukpo,7.19,52,90,90.14,2.31
slave lake,55.28,78,40,32.0,2.1
moerai,-22.43,78,100,79.93,5.04
norwich,52.63,87,40,50.0,3.6
angoche,-16.23,79,1,80.64,4.17
ponta delgada,37.73,77,75,62.6,6.2
sydney,-33.87,77,86,59.0,3.1
saint anthony,45.02,49,1,48.99,5.1
marzuq,14.4,39,15,79.99,6.39
elizabeth city,36.29,88,90,66.2,10.3
churapcha,62.0,89,68,4.39,2.36
sitka,57.05,93,90,39.2,3.1
tiarei,-17.53,78,20,78.8,1.0
luderitz,-26.65,60,0,71.6,2.6
east london,-33.02,83,0,73.4,6.2
kurilsk,45.23,76,12,37.15,2.61
norman wells,65.28,86,90,30.2,1.5
sovetskiy,61.36,88,98,40.17,2.84
south lake tahoe,38.93,100,90,36.0,1.45
itaqui,-29.13,44,0,76.15,4.46
palu,-0.89,79,95,76.93,0.92
lata,40.16,66,82,66.99,2.68
lubumbashi,-11.66,57,22,73.31,2.4
kismayo,-0.36,72,100,85.3,5.02
contamana,-7.33,44,94,84.11,3.05
tomatlan,19.93,40,34,84.56,1.48
saiki,32.95,76,0,55.35,7.2
castro,-24.79,42,33,68.31,2.64
sabang,5.89,74,19,83.52,2.49
arua,3.02,62,100,69.69,1.11
upernavik,72.79,93,100,25.05,12.47
iquitos,-3.75,66,40,84.2,2.6
lipin bor,60.26,76,98,36.79,2.86
lagoa,39.05,86,100,63.01,8.22
kuytun,54.34,76,100,31.93,4.89
saint george,37.1,62,1,59.0,3.1
padang,-0.95,78,100,79.5,1.0
kosmynino,57.58,52,75,42.8,2.0
hambantota,6.12,76,98,83.89,3.27
hobyo,5.35,68,70,85.75,5.33
hasaki,35.73,87,40,54.0,1.5
guerrero negro,27.98,70,3,60.37,6.96
kieta,-6.22,79,100,79.7,1.34
porto novo,6.5,66,40,91.4,7.2
constitucion,-35.33,76,100,68.14,2.99
puerto escondido,15.85,84,5,86.0,1.5
rundu,-17.93,40,98,86.0,4.1
mount isa,-20.73,31,11,78.8,5.1
zharkent,44.16,23,0,62.64,3.25
inongo,-1.95,75,83,82.02,0.65
wamba,8.93,32,83,96.15,3.02
san rafael,-34.62,26,13,78.03,6.7
bahia honda,22.9,53,0,86.43,3.6
chicama,-7.84,88,75,69.8,4.6
izhma,65.01,91,99,36.68,1.88
albion,42.24,69,1,41.0,3.1
salalah,17.02,70,20,84.2,3.6
iqaluit,63.75,65,75,3.2,1.5
canton,23.12,99,99,77.0,4.58
cherskiy,68.75,87,22,-4.41,2.85
bengkulu,-3.8,79,100,79.66,0.53
san quintin,30.48,68,25,59.43,6.12
ulaangom,49.98,50,0,34.47,1.1
calabozo,8.92,40,75,92.32,4.12
antofagasta,-23.65,68,40,66.2,3.6
moore,35.34,75,1,50.0,1.5
luwuk,-0.95,73,78,82.02,1.08
srandakan,-7.94,83,100,79.14,2.89
sibolga,1.74,80,100,78.94,0.8
flin flon,54.77,78,90,14.0,6.2
nsunga,-1.14,83,75,71.6,5.1
nyrob,60.73,93,100,35.65,1.93
port-gentil,-0.72,74,20,87.8,5.1
coihaique,-45.58,87,75,51.8,3.6
port-cartier,50.03,54,20,30.2,3.1
westport,41.14,86,90,41.0,5.7
port blair,11.67,73,11,84.43,3.26
oktyabrskiy,54.48,61,100,43.23,3.31
grindavik,63.84,100,90,46.4,8.2
shagonar,51.53,45,0,42.1,1.13
alta floresta,-9.88,47,40,98.6,2.1
talakan,50.32,49,65,43.81,1.63
nizhniy odes,63.64,85,92,36.36,1.82
mattru,7.62,56,100,90.03,3.43
lira,2.23,66,100,70.66,1.5
kahului,20.89,72,1,68.0,2.6
san patricio,19.22,73,20,77.0,3.1
biu,10.61,6,21,100.06,1.74
mount gambier,-37.83,93,32,44.6,1.98
pathein,16.78,77,0,77.07,2.79
aguimes,27.91,88,75,64.99,10.8
kungurtug,50.6,52,0,30.33,0.98
lusambo,-4.97,58,94,84.78,0.51
te anau,-45.42,74,77,43.81,2.01
vila velha,-20.33,61,40,80.6,7.7
jalu,29.03,15,0,83.37,4.53
pangnirtung,66.15,77,75,1.4,1.5
hay river,60.82,86,90,26.6,1.0
tessalit,20.2,6,96,105.35,1.76
buenaventura,3.88,68,33,85.23,0.75
flinders,-34.58,81,84,55.99,1.99
namatanai,-3.67,75,100,81.72,1.54
pueblo,38.25,45,1,51.01,4.6
humboldt,40.67,100,75,51.01,1.5
vestmannaeyjar,63.44,100,75,44.6,10.3
cariamanga,-4.33,73,40,71.6,0.5
vardo,70.37,95,100,33.91,9.52
port moresby,-9.44,100,20,77.0,1.5
san jose,37.34,62,75,55.99,3.1
port keats,-14.25,77,12,83.17,2.23
ilhabela,-23.78,67,82,74.91,2.59
ascension,30.22,88,90,73.4,3.1
nome,64.5,100,90,33.8,3.6
the valley,18.22,66,20,86.0,6.2
eydhafushi,5.1,73,26,85.69,4.18
am timan,11.03,5,63,105.21,1.56
pevek,69.7,88,0,-4.0,3.48
puerto carreno,6.19,70,75,84.2,1.0
dakar,14.69,69,52,78.8,8.7
baracoa,20.35,77,17,79.95,6.65
khandyga,62.67,87,15,-1.14,1.35
tual,-5.67,77,99,84.18,3.17
north bend,43.41,87,90,50.0,1.94
hofn,64.25,85,97,44.01,4.55
geraldton,-28.77,78,90,71.6,5.1
mudgee,-32.59,100,30,44.01,2.6
karwar,14.8,80,56,82.62,2.17
pisco,-13.7,69,6,73.4,2.6
hovd,48.01,33,96,39.92,3.09
lavrentiya,65.58,96,100,17.56,7.18
kifri,34.7,29,57,80.51,2.43
najran,17.49,21,75,89.6,2.6
gudibanda,13.67,28,40,86.0,2.6
kavaratti,10.57,70,2,85.42,3.77
boone,39.03,65,0,48.0,1.34
troitskoye,52.98,62,0,47.44,2.94
lumajang,-8.13,69,99,79.77,1.4
santa cruz,-17.8,32,2,82.4,6.2
sur,22.57,64,0,82.92,1.75
cheremukhovo,60.35,83,100,37.94,1.92
nagato,34.38,76,75,55.0,2.6
nidzica,53.36,29,97,50.0,3.6
save,8.04,49,96,91.76,3.12
kyabe,9.45,11,24,106.63,1.42
makakilo city,21.35,100,20,71.6,2.1
chichihualco,17.68,30,25,81.14,0.43
montlucon,46.33,58,100,66.94,1.45
amapa,1.0,85,100,76.75,0.58
wattegama,6.8,80,93,78.4,0.6
tabory,58.52,73,79,43.12,3.41
natal,-5.79,79,75,84.2,1.5
chuy,-33.7,67,11,70.43,2.09
alofi,-19.06,94,43,75.2,2.1
bayji,34.93,20,34,84.07,4.92
saint-medard-en-jalles,44.9,72,91,70.0,1.5
ananindeua,-1.37,74,40,84.2,3.6
beloha,-25.17,56,0,77.79,4.93
pangkalanbuun,-2.68,91,84,77.97,1.68
fairbanks,64.84,93,90,37.99,2.1
along,28.17,66,94,68.27,0.79
tagusao,9.19,80,55,82.4,2.47
magadan,59.57,92,100,10.47,7.24
chapais,49.78,47,75,35.6,7.7
pinawa,50.15,80,100,35.46,5.21
ban nahin,18.24,58,28,80.8,0.83
uniontown,39.9,62,97,37.99,1.34
jamame,0.07,71,100,85.28,5.02
nangong,37.36,50,100,60.04,4.39
haines junction,60.75,61,2,36.27,0.78
akdepe,42.06,27,0,73.4,3.1
houma,29.6,94,90,73.99,3.6
othaya,-0.57,94,100,57.99,1.82
poiana stampei,47.32,44,39,52.32,0.84
bulgan,48.81,50,64,33.22,2.92
thinadhoo,0.53,73,100,84.74,5.64
jashpurnagar,22.9,23,9,80.19,0.72
conceicao do araguaia,-8.26,67,57,85.86,1.34
mehran,33.12,47,90,59.0,1.0
sept-iles,50.2,54,20,30.2,3.1
kitimat,54.05,80,20,44.01,4.6
tafresh,34.69,28,100,56.26,1.77
necochea,-38.55,55,0,73.99,6.71
turukhansk,65.82,80,100,38.86,6.14
sao felix do xingu,-6.64,68,100,82.06,1.0
nuevo progreso,23.17,85,73,80.01,3.11
comodoro rivadavia,-45.87,37,75,68.0,8.2
ilebo,-4.32,80,100,80.2,0.7
hata,26.75,20,55,88.79,3.07
bonthe,7.53,68,100,85.44,5.37
avera,33.19,73,90,71.6,6.7
neiafu,-18.65,94,75,77.0,1.5
porto velho,-8.76,54,87,82.4,5.7
daru,-9.08,87,82,79.61,4.01
karratha,-20.74,63,73,84.27,4.5
hastings,50.86,81,62,57.0,4.96
saint simons,31.14,73,75,73.4,4.6
atar,20.52,16,0,88.36,6.97
zhangye,38.93,24,0,51.94,0.46
puri,19.8,78,75,75.2,4.1
sawtell,-30.38,88,70,62.6,1.92
taoudenni,22.68,12,31,104.72,4.75
grand gaube,-20.01,74,75,78.8,6.7
alexandria,31.22,63,0,67.37,6.61
isla mujeres,21.23,70,75,86.0,5.1
vinh,18.67,84,43,76.91,2.43
fuerte olimpo,-21.04,30,2,88.16,0.63
darhan,49.49,52,100,39.15,3.78
sorong,-0.88,86,99,77.92,0.67
proletarsk,46.7,66,100,55.44,2.96
cotonou,6.37,64,25,88.56,6.33
yanam,16.73,75,47,83.23,4.89
dongsheng,39.82,51,100,41.9,4.92
dukat,62.55,83,100,-1.52,2.73
sakaraha,-22.9,26,0,78.91,1.91
anloga,5.79,70,20,89.6,8.2
hirara,24.8,87,96,74.21,6.86
nago,26.59,88,1,71.6,3.6
saint-pierre,-21.34,83,6,77.0,10.8
baruun-urt,46.68,51,100,46.27,3.95
springfield,37.22,56,1,48.99,3.6
bindi,9.92,29,83,98.4,1.93
marrakesh,31.63,36,75,78.8,2.6
port augusta,-32.5,87,32,57.2,3.6
morros,-9.45,64,93,81.43,1.6
husavik,66.04,57,75,50.0,20.1
nipawin,53.37,68,75,28.4,7.2
egvekinot,66.32,88,100,6.46,9.79
lianzhou,24.78,82,100,71.04,1.15
fairlie,55.76,57,0,59.0,2.68
laguna,38.42,71,90,57.0,2.1
mahibadhoo,3.78,73,22,86.29,4.58
piacabucu,-10.41,65,9,85.71,2.86
bilma,18.69,7,0,102.18,4.0
jawhar,2.78,58,92,86.94,7.14
imaichi,36.72,83,99,46.0,2.68
arman,59.7,90,100,10.04,7.9
poselki,53.13,58,81,42.62,4.01
jagalur,14.53,23,63,89.22,1.03
langxiang,46.95,44,0,47.52,1.78
ahipara,-35.17,83,34,63.64,5.46
zahirabad,17.68,20,74,90.93,1.18
carutapera,-1.2,72,69,83.53,1.8
arlit,18.74,6,0,105.33,1.42
prince rupert,54.32,100,90,39.2,1.5
cabot,34.97,61,1,48.99,2.6
nekhayevskiy,50.41,58,71,46.99,0.89
ambon,-3.7,71,81,84.06,1.75
washougal,45.58,76,90,50.0,2.1
lander,42.83,43,1,35.6,1.76
krasnyy chikoy,50.36,60,94,35.04,3.79
caravelas,-17.71,83,97,76.87,9.75
chipinge,-20.19,58,8,68.52,2.93
itarema,-2.92,66,48,85.73,2.25
homer,59.64,87,90,46.4,1.34
mayaky,47.44,32,12,58.6,3.72
muros,42.78,80,44,64.99,5.81
russkaya polyana,49.42,43,95,51.08,4.17
doctor arroyo,23.67,33,80,73.13,1.37
kailua,21.4,54,1,78.8,3.1
dunedin,-45.87,71,100,51.01,0.45
khatanga,71.97,93,0,12.76,2.76
kemijarvi,66.71,81,98,35.2,4.52
waitati,-45.75,72,100,51.01,2.24
mwandiga,-4.83,56,100,77.7,0.55
plouzane,48.38,72,40,62.6,4.6
san cristobal,7.77,65,40,82.4,1.5
dzaoudzi,-12.79,66,75,84.2,2.6
khani,41.96,67,40,62.6,6.7
yacuiba,-22.04,33,0,79.97,1.78
madinat sittah uktubar,29.82,34,20,78.8,7.7
abeche,13.83,6,56,101.46,3.21
fortuna,40.6,100,75,51.01,1.5
tautira,-17.73,78,20,78.8,1.0
pihuamo,19.25,42,5,82.4,0.35
dubai,25.26,74,27,80.01,6.2
aktau,43.65,81,95,53.6,1.0
polunochnoye,60.87,87,100,39.16,1.37
lakatoro,-16.1,79,64,81.21,4.97
gobabis,-22.45,30,57,86.0,10.3
pembroke,45.82,33,1,45.0,3.1
xianshuigu,38.98,51,100,60.8,1.0
calatrava,10.6,74,20,84.2,2.1
hervey bay,-25.3,94,58,73.0,1.5
pacific grove,36.62,62,90,57.2,2.64
mount forest,43.98,78,61,43.0,4.92
novovelichkovskaya,45.28,43,97,64.0,0.89
saint-francois,46.42,43,98,71.6,2.1
buala,-8.14,81,97,80.08,1.84
fortuna foothills,32.66,45,1,63.0,2.6
rochegda,62.8,72,76,39.29,0.42
abu zabad,12.35,7,0,98.51,2.35
ayr,55.46,44,20,59.0,3.6
ust-ilimsk,58.0,89,4,23.47,3.47
gravdal,68.12,90,81,40.37,4.74
zhezkazgan,47.8,34,95,63.95,1.89
galle,6.04,78,78,82.9,3.12
ouro preto do oeste,-10.75,69,86,77.0,2.89
rawson,-43.3,69,100,64.11,5.81
flic en flac,-20.27,74,75,78.8,6.7
sola,-13.88,77,54,82.24,4.42
petropavlovsk-kamchatskiy,53.05,90,0,32.0,3.0
margate,51.38,87,8,48.04,6.16
noshiro,40.2,74,100,47.46,10.6
harrison,30.41,73,75,77.0,4.1
pangai,-19.8,83,77,79.12,8.04
cayenne,4.93,70,75,86.0,3.6
bathsheba,13.22,58,40,86.0,9.8
shushenskoye,53.33,60,0,39.2,2.0
dalvik,65.97,57,75,50.0,20.1
asau,46.43,29,71,66.2,2.1
tiznit,29.58,45,6,66.76,5.14
eregli,37.51,25,100,67.62,2.2
honningsvag,70.98,79,91,37.45,6.69
krasnyy yar,46.53,20,82,66.2,5.0
sao joao da barra,-21.64,61,75,78.8,4.1
alice springs,-23.7,45,0,66.2,2.1
tuatapere,-46.13,94,100,45.0,2.24
mackenzie,55.3,68,1,32.0,0.48
tari,12.41,10,7,105.57,3.03
catemaco,18.42,79,5,86.0,0.81
portlethen,57.05,65,75,50.0,4.6
ornskoldsvik,63.29,34,0,51.8,5.7
mana,5.66,74,69,84.06,3.79
cabedelo,-6.98,74,40,86.0,3.6
narsaq,60.92,54,75,30.2,1.5
kulu,39.1,25,18,67.46,4.78
mogadishu,2.04,72,77,85.05,5.84
svetlogorsk,52.63,53,92,45.99,5.01
danielskuil,-28.19,20,52,77.63,6.11
nantucket,41.28,93,90,42.8,7.7
gayny,60.31,94,100,35.11,1.57
tocopilla,-22.09,23,31,82.9,1.68
leirvik,59.78,65,0,51.01,1.34
vao,-22.67,70,9,74.62,4.67
moshkovo,55.31,37,1,51.8,3.0
springbok,-29.66,15,3,80.1,4.74
bulawayo,-20.15,28,0,76.82,5.76
svobodnyy,51.4,55,100,38.88,5.09
kuusamo,65.97,64,75,35.6,5.1
lodja,-3.48,76,29,81.23,0.99
sargur,11.98,57,46,78.15,3.24
qui nhon,13.77,89,41,76.93,1.29
axim,4.87,69,61,86.38,5.87
ola,59.58,92,100,11.1,7.04
coquimbo,-29.95,93,90,57.2,3.1
tchollire,8.4,10,51,105.35,2.89
yelovo,57.05,69,97,40.24,4.06
turkistan,43.0,20,0,71.24,2.71
sayyan,15.17,28,96,66.61,1.11
high prairie,55.43,78,20,30.45,2.47
karangampel,-6.46,78,100,81.9,1.61
